location,date,Confirmed,Events
Singapore,2022-1-1,352811,
Singapore,2022-2-1,724424,
Singapore,2022-3-1,1096428,
Singapore,2022-4-1,1193250,Border Open
Singapore,2022-5-1,1293369,Start of Omicron
