location,date,Confirmed,Events
Singapore,2020-1-1,13,Start of Alpha Variant
Singapore,2020-2-1,102,
Singapore,2020-3-1,926,
Singapore,2020-4-1,16169,Start of Lockdown
Singapore,2020-5-1,34884,
Singapore,2020-6-1,43907,End of Lockdown
Singapore,2020-7-1,52205,
Singapore,2020-8-1,56812,
Singapore,2020-9-1,57765,
Singapore,2020-10-1,58015,Start of Delta Variant
Singapore,2020-11-1,58218,
Singapore,2020-12-1,58599,
