location,date,Confirmed,Events
Singapore,2021-1-1,59536,
Singapore,2021-2-1,59936,
Singapore,2021-3-1,60381,
Singapore,2021-4-1,61145,
Singapore,2021-5-1,62051,
Singapore,2021-6-1,62579,
Singapore,2021-7-1,64981,
Singapore,2021-8-1,67620,
Singapore,2021-9-1,96521,Start of VTL
Singapore,2021-10-1,198374,
Singapore,2021-11-1,264725,
Singapore,2021-12-1,279405,
